name,ra,dec,distance_pc,ra_ssz,dec_ssz,distance_ssz_pc,xi,D_ssz,stretch_factor,phot_g_mean_mag,parallax
Star-26,77.9599373502188,-45.0438126993602,3.933932077122271,77.9599373502188,-45.0438126993602,7.867864154244542,1.0,0.5,2.0,8.063552,254.19859326384577
Star-27,319.2950181380955,-38.872456400701786,3.969633538609601,319.2950181380955,-38.872456400701786,7.939267077219202,1.0,0.5,2.0,5.984104,251.9124222107058
Star-28,281.29804386226,-63.96056736658412,4.005364851523573,281.29804386226,-63.96056736658412,8.010729703047145,1.0,0.5,2.0,14.005345,249.6651458904217
Star-29,162.05388771666577,-39.93962594730691,4.045052387065994,162.05388771666577,-39.93962594730691,8.090104774131987,1.0,0.5,2.0,14.005882,247.21558692230732
Star-30,247.57481416249277,-12.66785108081103,4.307764238399739,247.57481416249277,-12.66785108081103,8.615528476799478,1.0,0.5,2.0,8.801877,232.13898083974132
Star-31,12.296740250462332,5.376556608426358,4.314436111908938,12.296740250462332,5.376556608426358,8.628872223817876,1.0,0.5,2.0,12.299163,231.7799995322092
Star-32,188.3144928018531,9.022091624851694,4.326784785759761,188.3144928018531,9.022091624851694,8.653569571519522,1.0,0.5,2.0,11.235116,231.11849780261377
Star-33,1.3832841523481234,-37.36774402806293,4.345992568835256,1.3832841523481234,-37.36774402806293,8.691985137670512,1.0,0.5,2.0,7.6824937,230.09703402875448
Star-34,30.058987047653364,13.044071201123836,4.4696315690373,30.058987047653364,13.044071201123836,8.9392631380746,1.0,0.5,2.0,10.681062,223.73208720990556
Star-35,188.3146767758809,9.021829208339808,4.474723930280812,188.3146767758809,9.021829208339808,8.949447860561625,1.0,0.5,2.0,11.240162,223.4774738242332
Star-36,264.1040525731971,68.3334976375916,4.549802251285675,264.1040525731971,68.3334976375916,9.09960450257135,1.0,0.5,2.0,8.02864,219.78977211974916
Star-37,262.1701639221161,-46.89910489864381,4.552775172255158,262.1701639221161,-46.89910489864381,9.105550344510316,1.0,0.5,2.0,8.336431,219.64625138839503
